ID,CENTER,FY,SIC,NAICS,STATE,PRODUCTS,EC_plant_cost,EC_plant_usage
AM0001,AM,1987,3671,,TX,MICRO & MINI COMPUTERS,184985,2560082
AM0002,AM,1987,2761,,TX,BUSINESS FORMS,267702,4867233
AM0003,AM,1987,3494,,TX,SAFETY JOINTS & VALVES,129334,1723036
AM0004,AM,1987,3713,,TX,TRUCKS BEDS & TRAILERS,53511,483880
AM0005,AM,1987,2024,,TX,ICE CREAM,174617,2868113
AM0006,AM,1987,2048,,TX,FEED & MEAT PROCESSING,78005,1004396
AM0007,AM,1987,3559,,TX,NG LIQUIDS PROCES EQUIPMENT,118029,2157093
AM0008,AM,1987,2448,,TX,"WOODEN PALLETS,VENEERS",78950,839683
AM0009,AM,1987,2796,,TX,LIGHOGRAPHIC PLATES,249501,4589977
AM0010,AM,1987,2752,,TX,LETHOGRAPHIC PRINTING,261955,4626026
AM0011,AM,1987,2673,,TX,MISCELLANEOUS PLASTICS,508387,12702521
AM0012,AM,1987,3089,,TX,PLASTIC HOUSEWARES,196896,4116061
AM0013,AM,1987,3089,,TX,INJECTION-MOLDED PLASTIC,50121,1055979
AM0014,AM,1987,3448,,TX,PREFABRICATED METAL BUILDINGS,36539,483880
AM0015,AM,1987,2865,,TX,CONCENTRATE FOR PLASTICS,28480,279015
AM0016,AM,1988,3089,,TX,PLASTIC CONTAINERS,204940,4851114
AM0017,AM,1988,3993,,TX,ILLUMINATED PLASTIC SIGNS,60069,883939
AM0018,AM,1988,3585,,TX,EVAPORATORS & CONDENSERS,22539,351114
AM0019,AM,1988,2499,,TX,PEG BOARD PANELS,20289,264947
AM0020,AM,1988,3479,,TX,GALVANIZED FENCING,30201,312427
AM0021,AM,1988,3085,,TX,PLASTIC CONTAINERS,528507,9645076
AM0022,AM,1988,3585,,TX,REFRIGERATION COILS,48627,833822
AM0023,AM,1988,2449,,TX,VENEERED FRUIT,14059,162075
