id,center,fy,sic,naics,state,products,ec_plant_cost,ec_plant_usage
AM0001,AM,1987,3671.0,,TX,MICRO & MINI COMPUTERS,184985.0,2560082.0
AM0002,AM,1987,2761.0,,TX,BUSINESS FORMS,267702.0,4867233.0
AM0003,AM,1987,3494.0,,TX,SAFETY JOINTS & VALVES,129334.0,1723036.0
AM0004,AM,1987,3713.0,,TX,TRUCKS BEDS & TRAILERS,53511.0,483880.0
AM0005,AM,1987,2024.0,,TX,ICE CREAM,174617.0,2868113.0
AM0006,AM,1987,2048.0,,TX,FEED & MEAT PROCESSING,78005.0,1004396.0
AM0007,AM,1987,3559.0,,TX,NG LIQUIDS PROCES EQUIPMENT,118029.0,2157093.0
AM0008,AM,1987,2448.0,,TX,"WOODEN PALLETS,VENEERS",78950.0,839683.0
AM0009,AM,1987,2796.0,,TX,LIGHOGRAPHIC PLATES,249501.0,4589977.0
AM0010,AM,1987,2752.0,,TX,LETHOGRAPHIC PRINTING,261955.0,4626026.0
AM0011,AM,1987,2673.0,,TX,MISCELLANEOUS PLASTICS,508387.0,12702521.0
AM0012,AM,1987,3089.0,,TX,PLASTIC HOUSEWARES,196896.0,4116061.0
AM0013,AM,1987,3089.0,,TX,INJECTION-MOLDED PLASTIC,50121.0,1055979.0
AM0014,AM,1987,3448.0,,TX,PREFABRICATED METAL BUILDINGS,36539.0,483880.0
AM0015,AM,1987,2865.0,,TX,CONCENTRATE FOR PLASTICS,28480.0,279015.0
AM0016,AM,1988,3089.0,,TX,PLASTIC CONTAINERS,204940.0,4851114.0
AM0017,AM,1988,3993.0,,TX,ILLUMINATED PLASTIC SIGNS,60069.0,883939.0
AM0018,AM,1988,3585.0,,TX,EVAPORATORS & CONDENSERS,22539.0,351114.0
AM0019,AM,1988,2499.0,,TX,PEG BOARD PANELS,20289.0,264947.0
AM0020,AM,1988,3479.0,,TX,GALVANIZED FENCING,30201.0,312427.0
AM0021,AM,1988,3085.0,,TX,PLASTIC CONTAINERS,528507.0,9645076.0
AM0022,AM,1988,3585.0,,TX,REFRIGERATION COILS,48627.0,833822.0
AM0023,AM,1988,2449.0,,TX,VENEERED FRUIT,14059.0,162075.0
AM0024,AM,1988,3585.0,,TX,COPPER MANIFOLDS,15852.0,189625.0
AM0025,AM,1988,2013.0,,TX,BEEF PATTIES,74177.0,1674678.0
AM0026,AM,1988,3714.0,,TX,AUTO AIR CONDITIONER COMPRESSORS,170004.0,2866940.0
AM0027,AM,1988,2653.0,,TX,CORREGATED SHIPPING CONTAINERS,155665.0,3073271.0
AM0028,AM,1988,2653.0,,TX,CORREGATED PAPER CONTAINERS,186318.0,3546014.0
AM0029,AM,1988,2448.0,,TX,WOODEN PALLETS,120139.0,1443728.0
AM0030,AM,1988,3585.0,,TX,AIR CONDITIONING EQUIPMENT,41798.0,543083.0
AM0031,AM,1988,2819.0,,TX,CATALYST CARRIERS,125987.0,1985932.0
AM0032,AM,1988,2879.0,,TX,"INSECTICIDES, HERBICIDES",119053.0,1936401.0
AM0033,AM,1988,2048.0,,TX,CATTLE & HORSES PROCESS,465245.0,10709848.0
AM0034,AM,1988,2051.0,,TX,FRUIT CAKES,12857.0,220106.0
AM0035,AM,1988,3535.0,,TX,AERIAL HYDRAULIC LIFTS,57435.0,1099941.0
AM0036,AM,1988,3452.0,,TX,STEEL & ALUMINUM FASTENERS,482750.0,11427022.0
AM0037,AM,1988,3545.0,,TX,CARBIDE INSERTS,84769.0,1364889.0
AM0038,AM,1988,2891.0,,TX,CHEMICAL FORMULATIONS,30961.0,412954.0
AM0039,AM,1988,3315.0,,TX,WELDED WIRE FABRIC,106364.0,1725967.0
AM0040,AM,1988,2657.0,,TX,FOLDING BOXES,39514.0,721864.0
AM0041,AM,1988,2431.0,,TX,PRE-HUNG DOOR UNITS,91650.0,1143025.0
AM0042,AM,1988,3448.0,,TX,PREFABRICATED STEEL,74160.0,1258499.0
AM0043,AM,1988,2451.0,,TX,MANUFACTURED HOUSING,36465.0,519637.0
AM0044,AM,1988,3325.0,,TX,STEEL CASTINGS,893000.0,17505862.0
AM0045,AM,1988,3593.0,,TX,"CYLINDERS, PUMPS, MOTORS",25630.0,352579.0
AM0046,AM,1989,2099.0,,TX,PREPARED SALADS,40534.0,726553.0
AM0047,AM,1989,3443.0,,TX,STORAGE TANKS & VESSELS,227621.0,4383353.0
AM0048,AM,1989,3624.0,,TX,OIL FIELD RELATED PRODS.,240506.0,3805100.0
AM0049,AM,1989,3441.0,,TX,FABRICATED STEEL PRODUCTS,121479.0,1844959.0
AM0050,AM,1989,3792.0,,TX,TRAVEL TRAILERS,40321.0,668230.0
AM0051,AM,1989,3448.0,,TX,MODULAR BUILDINGS,74513.0,1157093.0
AM0052,AM,1989,2096.0,,TX,POTATO & CORN CHIPS,293578.0,6441677.0
AM0053,AM,1989,3398.0,,TX,HEAT TREATED METAL PARTS,24806.0,343787.0
AM0054,AM,1989,2421.0,,TX,ROUGH & MILLED WOOD,97693.0,1322978.0
AM0055,AM,1989,2813.0,,TX,LIQUID CARBON DIOXIDE,534247.0,11597890.0
AM0056,AM,1989,2048.0,,TX,LIVESTOCK & POULTRY FEED,73582.0,1657972.0
AM0057,AM,1989,2531.0,,TX,FURNITURE FOR CHURCHES,84831.0,1301876.0
AM0058,AM,1989,2679.0,,TX,PAPER FIBER INSULATION,44711.0,453986.0
AM0059,AM,1989,3449.0,,TX,STEEL,34163.0,396542.0
AM0060,AM,1989,3479.0,,TX,STEEL CASING AND TUBING,301358.0,6276671.0
AM0061,AM,1989,2653.0,,TX,CORRUGATED CONTAINERS,217470.0,4346131.0
AM0062,AM,1989,3533.0,,TX,OILFIELD VALVES & EQUIPMENT,40591.0,625147.0
AM0063,AM,1989,3492.0,,TX,PRESSURE CONTROL EQUIPMENT,110381.0,1871923.0
AM0064,AM,1989,3494.0,,TX,PLASTIC LINED PIPES,261894.0,4370457.0
AM0065,AM,1989,3571.0,,TX,COMPUTER CONTROL SYSTEMS,332736.0,6885991.0
AM0066,AM,1989,3061.0,,TX,RUBBER OIL-WELL EQUIPMENT,89599.0,1361958.0
AM0067,AM,1989,2261.0,,TX,STONE-WASHED JEANS,244958.0,4470985.0
AM0068,AM,1989,3452.0,,TX,"RING GASKETS,BOLTS,NUTS",221183.0,4791911.0
AM0069,AM,1989,3823.0,,TX,ELECTRONIC FLOW COMPUTERS,562737.0,11094080.0
AM0070,AM,1989,3823.0,,TX,INDUSTR. MICROPROCESSORS,167607.0,3395956.0
AM0071,AM,1989,3546.0,,TX,PNEUMATIC HAND TOOLS,361428.0,8204865.0
AM0072,AM,1989,3533.0,,TX,OIL FIELD TOOLS,370650.0,8521981.0
AM0073,AM,1989,2952.0,,TX,ASPHALT ROOFING SHINGLES,119672.0,2199883.0
AM0074,AM,1989,3053.0,,TX,RUBBER SHEETING,295400.0,5823564.0
AM0075,AM,1989,2096.0,,TX,POTATO & CORN CHIPS,146411.0,2677022.0
AM0076,AM,1990,3479.0,,TX,PIPECOATING,269266.0,3456917.0
AM0077,AM,1990,3498.0,,TX,OIL FIELD TUBING,71548.0,1092028.0
AM0078,AM,1990,2752.0,,TX,COMMERCIAL PRINTING,404260.0,8257034.0
AM0079,AM,1990,3433.0,,TX,HEAT EXCHANGERS,90870.0,1468054.0
AM0080,AM,1990,3547.0,,TX,ROLLING MILL MACHINERY,103553.0,1694021.0
AM0081,AM,1990,3443.0,,TX,CUSTOM MACHINE SHOP,146572.0,2748535.0
AM0082,AM,1990,3537.0,,TX,HYDRAULIC EQUIPMENT,119791.0,1997655.0
AM0083,AM,1990,3533.0,,TX,OIL FIELD EQUIPMENT,269121.0,5092907.0
AM0084,AM,1990,3443.0,,TX,SHELL TUBE HEAT EXCHANGE MANUFACTURE,81475.0,1283998.0
AM0085,AM,1990,3423.0,,TX,AGRICULTURE MACHINERY,91147.0,1089390.0
AM0086,AM,1990,3086.0,,TX,"FOAMED PLASTIC, PADDING",127928.0,2441090.0
AM0087,AM,1990,3632.0,,TX,SMALL FREEZERS,120508.0,2123974.0
AM0088,AM,1990,3053.0,,TX,MOLDED RUBBER GASKETS,56895.0,960141.0
AM0089,AM,1990,3648.0,,TX,STREET LIGHTING STANDARDS,87946.0,1438453.0
