naics,naics_title,sic,sic_description
111110,Soybean Farming,0116,Soybeans
111120,Oilseed (except Soybean) Farming ,0119,"Cash Grains, Nec"
111130,Dry Pea and Bean Farming ,0119,"Cash Grains, Nec"
111140,Wheat Farming,0111,Wheat
111150,Corn Farming ,0115,Corn
111150,Corn Farming ,0119,"Cash Grains, Nec"
111160,Rice Farming,0112,Rice
111191,Oilseed and Grain Combination Farming ,0119,"Cash Grains, Nec"
111199,All Other Grain Farming ,0119,"Cash Grains, Nec"
111199,All Other Grain Farming ,0139,"Field Crops, Except Cash Grain"
111211,Potato Farming ,0134,Irish Potatoes
111211,Potato Farming ,0139,"Field Crops, Except Cash Grain"
111211,Potato Farming ,0161,Vegetables and Melons
111219,Other Vegetable (except Potato) and Melon Farming ,0139,"Field Crops, Except Cash Grain"
111219,Other Vegetable (except Potato) and Melon Farming ,0161,Vegetables and Melons
111310,Orange Groves,0174,Citrus Fruits
111320,Citrus (except Orange) Groves ,0174,Citrus Fruits
111331,Apple Orchards ,0175,Deciduous Tree Fruits
111332,Grape Vineyards ,0172,Grapes
111333,Strawberry Farming ,0171,Berry Crops
111334,Berry (except Strawberry) Farming ,0171,Berry Crops
111335,Tree Nut Farming ,0173,Tree Nuts
111336,Fruit and Tree Nut Combination Farming ,0179,"Fruits and Tree Nuts, Nec"
111339,Other Noncitrus Fruit Farming ,0175,Deciduous Tree Fruits
111339,Other Noncitrus Fruit Farming ,0179,"Fruits and Tree Nuts, Nec"
111411,Mushroom Production ,0182,Food Crops Grown Under Cover
111419,Other Food Crops Grown Under Cover ,0182,Food Crops Grown Under Cover
111421,Nursery and Tree Production ,0181,Ornamental Nursery Products
111421,Nursery and Tree Production ,0811,Timber Tracts
111422,Floriculture Production ,0181,Ornamental Nursery Products
111910,Tobacco Farming,0132,Tobacco
111920,Cotton Farming,0131,Cotton
111930,Sugarcane Farming,0133,Sugarcane and Sugar Beets
111940,Hay Farming ,0139,"Field Crops, Except Cash Grain"
111991,Sugar Beet Farming ,0133,Sugarcane and Sugar Beets
111992,Peanut Farming ,0139,"Field Crops, Except Cash Grain"
111998,All Other Miscellaneous Crop Farming ,0139,"Field Crops, Except Cash Grain"
111998,All Other Miscellaneous Crop Farming ,0191,"General Farms, Primarily Crop"
111998,All Other Miscellaneous Crop Farming ,0831,Forest Products
111998,All Other Miscellaneous Crop Farming ,0919,Miscellaneous Marine Products
111998,All Other Miscellaneous Crop Farming ,2099,"Food Preparations, Nec"
112111,Beef Cattle Ranching and Farming ,0212,"Beef Cattle, Except Feedlots"
112111,Beef Cattle Ranching and Farming ,0241,Dairy Farms
112112,Cattle Feedlots ,0211,Beef Cattle Feedlots
112120,Dairy Cattle and Milk Production,0241,Dairy Farms
112130,Dual-Purpose Cattle Ranching and Farming ,Aux,
112210,Hog and Pig Farming ,0213,Hogs
112310,Chicken Egg Production ,0252,Chicken Eggs
112320,Broilers and Other Meat Type Chicken Production ,0251,"Broiler, Fryer, and Roaster Chickens"
112330,Turkey Production,0253,Turkeys and Turkey Eggs
112340,Poultry Hatcheries,0254,Poultry Hatcheries
112390,Other Poultry Production ,0259,"Poultry and Eggs, Nec"
112410,Sheep Farming,0214,Sheep and Goats
112420,Goat Farming,0214,Sheep and Goats
112511,Finfish Farming and Fish Hatcheries ,0273,Animal Aquaculture
112511,Finfish Farming and Fish Hatcheries ,0921,Fish Hatcheries and Preserves
112512,Shellfish Farming ,0273,Animal Aquaculture
112512,Shellfish Farming ,0919,Miscellaneous Marine Products
112512,Shellfish Farming ,0921,Fish Hatcheries and Preserves
112519,Other Aquaculture ,0139,"Field Crops, Except Cash Grain"
112519,Other Aquaculture ,0191,"General Farms, Primarily Crop"
112519,Other Aquaculture ,0273,Animal Aquaculture
112519,Other Aquaculture ,0279,"Animal Specialties, Nec"
112519,Other Aquaculture ,0831,Forest Products
112519,Other Aquaculture ,0919,Miscellaneous Marine Products
112519,Other Aquaculture ,2099,"Food Preparations, Nec"
112910,Apiculture,0279,"Animal Specialties, Nec"
112920,Horses and Other Equine Production,0272,Horses and Other Equines
112930,Fur-Bearing Animal and Rabbit Production,0271,Fur-bearing Animals and Rabbits
112990,All Other Animal Production ,0219,"General Livestock, Nec"
112990,All Other Animal Production ,0279,"Animal Specialties, Nec"
112990,All Other Animal Production ,0291,"General Farms, Primarily animals"
113110,Timber Tract Operations,0811,Timber Tracts
113210,Forest Nurseries and Gathering of Forest Products ,0831,Forest Products
113310,Logging ,2411,Logging
114111,Finfish Fishing ,0912,Finfish
114112,Shellfish Fishing ,0913,Shellfish
114112,Shellfish Fishing ,0919,Miscellaneous Marine Products
